Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Abdihakim Abdirahman,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 10,000 metres",No medal
Amelia (-harvey),F,United States,USA,2004,Athina,Athletics,Athletics Women's High Jump,No medal
Kenwood Bell,M,United States,USA,2004,Athina,Athletics,Athletics Men's Triple Jump,No medal
Bennie Brazell,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres Hurdles,No medal
Derrick Brew,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres,Bronze
Derrick Brew,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Tim Broe,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 5,000 metres",No medal
Stephanie Brown-trafton,F,United States,USA,2004,Athina,Athletics,Athletics Women's Discus Throw,No medal
Daniel Browne,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 10,000 metres",No medal
Daniel Browne,M,United States,USA,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Shelia Burrell,F,United States,USA,2004,Athina,Athletics,Athletics Women's Heptathlon,No medal
James Carter,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres Hurdles,No medal
Hazel Clark-riley,F,United States,USA,2004,Athina,Athletics,Athletics Women's 800 metres,No medal
Curt Clausen,M,United States,USA,2004,Athina,Athletics,Athletics Men's 50 kilometres Walk,No medal
Bryan Clay,M,United States,USA,2004,Athina,Athletics,Athletics Men's Decathlon,Silver
LaTasha (-clark),F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres,No medal
LaTasha (-clark),F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Crystal (-walker),F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,No medal
Shawn Crawford,M,United States,USA,2004,Athina,Athletics,Athletics Men's 100 metres,No medal
Shawn Crawford,M,United States,USA,2004,Athina,Athletics,Athletics Men's 200 metres,Gold
Shawn Crawford,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Alan Culpepper,M,United States,USA,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Shayne (whille-),F,United States,USA,2004,Athina,Athletics,"Athletics Women's 5,000 metres",No medal
Walter Davis,M,United States,USA,2004,Athina,Athletics,Athletics Men's Long Jump,No medal
Walter Davis,M,United States,USA,2004,Athina,Athletics,Athletics Men's Triple Jump,No medal
Colleen (lindeque-),F,United States,USA,2004,Athina,Athletics,Athletics Women's Marathon,No medal
Lashinda Demus,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres Hurdles,No medal
Yolanda (-roberts),F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres,No medal
Yolanda (-roberts),F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres Hurdles,No medal
Stacy -waltz),F,United States,USA,2004,Athina,Athletics,Athletics Women's Pole Vault,No medal
Deena Drossin-kastor,F,United States,USA,2004,Athina,Athletics,Athletics Women's Marathon,Bronze
Elva (martinez-),F,United States,USA,2004,Athina,Athletics,"Athletics Women's 10,000 metres",No medal
Philip Dunn,M,United States,USA,2004,Athina,Athletics,Athletics Men's 50 kilometres Walk,No medal
Kevin Eastler,M,United States,USA,2004,Athina,Athletics,Athletics Men's 20 kilometres Walk,No medal
Anthony Famiglietti,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
Allyson Felix,F,United States,USA,2004,Athina,Athletics,Athletics Women's 200 metres,Silver
Shalane (-edwards),F,United States,USA,2004,Athina,Athletics,"Athletics Women's 5,000 metres",No medal
Robert Gary,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
Justin Gatlin,M,United States,USA,2004,Athina,Athletics,Athletics Men's 100 metres,Gold
Justin Gatlin,M,United States,USA,2004,Athina,Athletics,Athletics Men's 200 metres,Bronze
Justin Gatlin,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Laura (-ekstrand),F,United States,USA,2004,Athina,Athletics,Athletics Women's Shot Put,No medal
Erin Gilreath,F,United States,USA,2004,Athina,Athletics,Athletics Women's Hammer Throw,No medal
John Godina,M,United States,USA,2004,Athina,Athletics,Athletics Men's Shot Put,No medal
Maurice Greene,M,United States,USA,2004,Athina,Athletics,Athletics Men's 100 metres,Bronze
Maurice Greene,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Edward Greer,M,United States,USA,2004,Athina,Athletics,Athletics Men's Javelin Throw,No medal
Charlie Gruber,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 1,500 metres",No medal
Otis Jr.,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres,Silver
Otis Jr.,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Tora Harris,M,United States,USA,2004,Athina,Athletics,Athletics Men's High Jump,No medal
Joanna Hayes,F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres Hurdles,Gold
Kristin Heaston,F,United States,USA,2004,Athina,Athletics,Athletics Women's Shot Put,No medal
Matthew Hemingway,M,United States,USA,2004,Athina,Athletics,Athletics Men's High Jump,Silver
Monique Henderson,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Monique Hennagan,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres,No medal
Monique Hennagan,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Aretha Hill-thurmond,F,United States,USA,2004,Athina,Athletics,Athletics Women's Discus Throw,No medal
Michael Hoffa,M,United States,USA,2004,Athina,Athletics,Athletics Men's Shot Put,No medal
Chaunte Howard-lowe,F,United States,USA,2004,Athina,Athletics,Athletics Women's High Jump,No medal
Tiombe Hurd,F,United States,USA,2004,Athina,Athletics,Athletics Women's Triple Jump,No medal
Jaclyn (-ulm),F,United States,USA,2004,Athina,Athletics,Athletics Women's Hammer Throw,No medal
Allen Johnson,M,United States,USA,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,No medal
Jonathan Johnson,M,United States,USA,2004,Athina,Athletics,Athletics Men's 800 metres,No medal
Sheena Johnson-tosta,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres Hurdles,No medal
Marion -thompson),F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Marion -thompson),F,United States,USA,2004,Athina,Athletics,Athletics Women's Long Jump,No medal
Mebrahtom Keflezighi,M,United States,USA,2004,Athina,Athletics,Athletics Men's Marathon,Silver
Kimberly Kreiner,F,United States,USA,2004,Athina,Athletics,Athletics Women's Javelin Throw,No medal
Alfred Kruger,M,United States,USA,2004,Athina,Athletics,Athletics Men's Hammer Throw,No medal
Muna Lee,F,United States,USA,2004,Athina,Athletics,Athletics Women's 200 metres,No medal
Daniel Lincoln,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
Melvin Iii,M,United States,USA,2004,Athina,Athletics,Athletics Men's Triple Jump,No medal
Tiffany Lott-hogan,F,United States,USA,2004,Athina,Athletics,Athletics Women's Heptathlon,No medal
Timothy Mack,M,United States,USA,2004,Athina,Athletics,Athletics Men's Pole Vault,Gold
Anna (nordgren-),F,United States,USA,2004,Athina,Athletics,Athletics Women's Hammer Throw,No medal
Casey Malone,M,United States,USA,2004,Athina,Athletics,Athletics Men's Discus Throw,No medal
Derek Miles,M,United States,USA,2004,Athina,Athletics,Athletics Men's Pole Vault,No medal
Jearl Miles-clark,F,United States,USA,2004,Athina,Athletics,Athletics Women's 800 metres,No medal
Coby Miller,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
John Moffitt,M,United States,USA,2004,Athina,Athletics,Athletics Men's Long Jump,Silver
LaShauntea Moore,F,United States,USA,2004,Athina,Athletics,Athletics Women's 200 metres,No medal
Melissa (-howard),F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres Hurdles,Bronze
Adam Nelson,M,United States,USA,2004,Athina,Athletics,Athletics Men's Shot Put,Gold
James Nieto,M,United States,USA,2004,Athina,Athletics,Athletics Men's High Jump,No medal
John Nunn,M,United States,USA,2004,Athina,Athletics,Athletics Men's 20 kilometres Walk,No medal
Kate (-tenforde),F,United States,USA,2004,Athina,Athletics,"Athletics Women's 10,000 metres",No medal
Thomas Pappas,M,United States,USA,2004,Athina,Athletics,Athletics Men's Decathlon,No medal
James Parker,M,United States,USA,2004,Athina,Athletics,Athletics Men's Hammer Throw,No medal
Darvis Patton,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Yuliana Perez,F,United States,USA,2004,Athina,Athletics,Athletics Women's Triple Jump,No medal
Michelle Perry,F,United States,USA,2004,Athina,Athletics,Athletics Women's Heptathlon,No medal
Derrick Peterson,M,United States,USA,2004,Athina,Athletics,Athletics Men's 800 metres,No medal
Dwight Phillips,M,United States,USA,2004,Athina,Athletics,Athletics Men's Long Jump,Gold
Jennifer Rhines,F,United States,USA,2004,Athina,Athletics,Athletics Women's Marathon,No medal
Sanya Richards-ross,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres,No medal
Sanya Richards-ross,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Rose Richmond,F,United States,USA,2004,Athina,Athletics,Athletics Women's Long Jump,No medal
Jonathon Riley,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 5,000 metres",No medal
Dathan Ritzenhein,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 10,000 metres",No medal
Khadevis Robinson,M,United States,USA,2004,Athina,Athletics,Athletics Men's 800 metres,No medal
Moushaumi Robinson,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Grant Robison,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 1,500 metres",No medal
Andrew Rock,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Jarred Rome,M,United States,USA,2004,Athina,Athletics,Athletics Men's Discus Throw,No medal
Randolph Ross,M,United States,USA,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,No medal
Marla (-lonergan),F,United States,USA,2004,Athina,Athletics,"Athletics Women's 5,000 metres",No medal
Jillian Schwartz,F,United States,USA,2004,Athina,Athletics,Athletics Women's Pole Vault,No medal
Timothy Seaman,M,United States,USA,2004,Athina,Athletics,Athletics Men's 20 kilometres Walk,No medal
Toby Stevenson,M,United States,USA,2004,Athina,Athletics,Athletics Men's Pole Vault,Silver
Seilala Sua,F,United States,USA,2004,Athina,Athletics,Athletics Women's Discus Throw,No medal
Kellie (-dolrenry),F,United States,USA,2004,Athina,Athletics,Athletics Women's Pole Vault,No medal
Angelo Jr.,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres Hurdles,No medal
Brenda Taylor,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres Hurdles,No medal
Paul Terek,M,United States,USA,2004,Athina,Athletics,Athletics Men's Decathlon,No medal
Nicole Teter,F,United States,USA,2004,Athina,Athletics,Athletics Women's 800 metres,No medal
Carrie Tollefson,F,United States,USA,2004,Athina,Athletics,"Athletics Women's 1,500 metres",No medal
Terrence Trammell,M,United States,USA,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,Silver
De'Hashia Trotter,F,United States,USA,2004,Athina,Athletics,Athletics Women's 400 metres,No medal
De'Hashia Trotter,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Grace Upshaw,F,United States,USA,2004,Athina,Athletics,Athletics Women's Long Jump,No medal
Teresa Vaill,F,United States,USA,2004,Athina,Athletics,Athletics Women's 20 kilometres Walk,No medal
Tisha Waller,F,United States,USA,2004,Athina,Athletics,Athletics Women's High Jump,No medal
Ian Waltz,M,United States,USA,2004,Athina,Athletics,Athletics Men's Discus Throw,No medal
Jeremy Wariner,M,United States,USA,2004,Athina,Athletics,Athletics Men's 400 metres,Gold
Jeremy Wariner,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Alan Webb,M,United States,USA,2004,Athina,Athletics,"Athletics Men's 1,500 metres",No medal
Angela Williams,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Lauryn Williams,F,United States,USA,2004,Athina,Athletics,Athletics Women's 100 metres,Silver
Lauryn Williams,F,United States,USA,2004,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Bernard Iii,M,United States,USA,2004,Athina,Athletics,Athletics Men's 200 metres,Silver
Darold Williamson,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Kelly Willie,M,United States,USA,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
