Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,isHost
Basketball,1992,China,0,1,0,1,23,6,236,0
Basketball,1992,Brazil,0,0,0,0,24,6,236,0
Basketball,1992,Cuba,0,0,0,0,12,6,236,0
Basketball,1992,Croatia,0,1,0,1,12,6,236,0
Basketball,1992,Spain,0,0,0,0,23,6,236,1
Basketball,1992,Germany,0,0,0,0,12,6,236,0
Basketball,1992,Czech Republic,0,0,0,0,12,6,236,0
Basketball,1992,Italy,0,0,0,0,12,6,236,0
Basketball,1992,Unified Team,1,0,0,1,24,6,236,0
Basketball,1992,United States,1,0,1,2,24,6,236,0
Basketball,1992,Australia,0,0,0,0,12,6,236,0
Basketball,1992,Lithuania,0,0,1,1,12,6,236,0
Basketball,1992,Puerto Rico,0,0,0,0,12,6,236,0
Basketball,1992,Angola,0,0,0,0,12,6,236,0
Basketball,1992,Venezuela,0,0,0,0,10,6,236,0
Basketball,2008,Spain,0,1,0,1,24,6,287,0
Basketball,2008,Russia,0,0,1,1,24,6,287,0
Basketball,2008,Brazil,0,0,0,0,12,6,287,0
Basketball,2008,Iran,0,0,0,0,12,6,287,0
Basketball,2008,Angola,0,0,0,0,12,6,287,0
Basketball,2008,Australia,0,1,0,1,24,6,287,0
Basketball,2008,United States,2,0,0,2,24,6,287,0
Basketball,2008,Belarus,0,0,0,0,12,6,287,0
Basketball,2008,Latvia,0,0,0,0,12,6,287,0
Basketball,2008,Mali,0,0,0,0,12,6,287,0
Basketball,2008,Croatia,0,0,0,0,12,6,287,0
Basketball,2008,New Zealand,0,0,0,0,12,6,287,0
Basketball,2008,China,0,0,0,0,24,6,287,1
Basketball,2008,Greece,0,0,0,0,12,6,287,0
Basketball,2008,South Korea,0,0,0,0,11,6,287,0
Basketball,2008,Argentina,0,0,1,1,12,6,287,0
Basketball,2008,Czech Republic,0,0,0,0,12,6,287,0
Basketball,2008,Germany,0,0,0,0,12,6,287,0
Basketball,2008,Lithuania,0,0,0,0,12,6,287,0
Basketball,1952,Egypt,0,0,0,0,14,3,294,0
Basketball,1952,Uruguay,0,0,1,1,12,3,294,0
Basketball,1952,Switzerland,0,0,0,0,14,3,294,0
Basketball,1952,Brazil,0,0,0,0,13,3,294,0
Basketball,1952,Turkey,0,0,0,0,11,3,294,0
Basketball,1952,Mexico,0,0,0,0,13,3,294,0
Basketball,1952,Israel,0,0,0,0,12,3,294,0
Basketball,1952,Chile,0,0,0,0,13,3,294,0
Basketball,1952,Greece,0,0,0,0,12,3,294,0
Basketball,1952,Hungary,0,0,0,0,13,3,294,0
Basketball,1952,Czech Republic,0,0,0,0,13,3,294,0
Basketball,1952,Philippines,0,0,0,0,12,3,294,0
Basketball,1952,Cuba,0,0,0,0,12,3,294,0
