Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,isHost
Wrestling,1896,Great Britain,0,0,0,0,1,3,5,0
Wrestling,1896,Greece,0,1,1,2,2,3,5,0
Wrestling,1896,Germany,1,0,0,1,1,3,5,0
Wrestling,1896,Hungary,0,0,0,0,1,3,5,0
Wrestling,1904,United States,5,6,6,17,35,21,48,1
Wrestling,1904,Norway,2,0,0,2,2,21,48,0
Wrestling,1904,Canada,0,0,0,0,1,21,48,0
Wrestling,1904,Germany,0,1,0,1,3,21,48,0
Wrestling,1904,Switzerland,0,0,1,1,1,21,48,0
Wrestling,1906,Austria,1,2,1,4,8,12,39,0
Wrestling,1906,Denmark,2,1,1,4,3,12,39,0
Wrestling,1906,France,0,0,0,0,2,12,39,0
Wrestling,1906,Germany,0,0,0,0,2,12,39,0
Wrestling,1906,Egypt,0,0,0,0,1,12,39,0
Wrestling,1906,Belgium,0,0,1,1,3,12,39,0
Wrestling,1906,Hungary,0,0,1,1,3,12,39,0
Wrestling,1906,Bohemia,0,0,0,0,2,12,39,0
Wrestling,1906,Greece,0,0,0,0,9,12,39,0
Wrestling,1906,United States,0,0,0,0,2,12,39,0
Wrestling,1906,Finland,1,1,0,2,1,12,39,0
Wrestling,1908,Great Britain,3,4,4,11,53,27,133,0
Wrestling,1908,Denmark,0,0,3,3,10,27,133,0
Wrestling,1908,Sweden,1,1,0,2,9,27,133,0
Wrestling,1908,Bohemia,0,0,0,0,4,27,133,0
Wrestling,1908,Netherlands,0,0,0,0,9,27,133,0
Wrestling,1908,Canada,0,0,1,1,1,27,133,0
Wrestling,1908,United States,2,0,0,2,6,27,133,0
Wrestling,1908,Belgium,0,0,0,0,4,27,133,0
Wrestling,1908,Russia,0,2,0,2,4,27,133,0
Wrestling,1908,Germany,0,0,0,0,1,27,133,0
Wrestling,1908,Norway,0,1,0,1,1,27,133,0
Wrestling,1908,Iceland,0,0,0,0,1,27,133,0
Wrestling,1908,Finland,1,1,1,3,4,27,133,0
Wrestling,1908,Hungary,1,0,0,1,7,27,133,0
Wrestling,1908,Italy,1,0,0,1,1,27,133,0
Wrestling,1912,Finland,3,2,2,7,37,15,170,0
Wrestling,1912,Sweden,1,2,1,4,33,15,170,1
Wrestling,1912,Russia,0,1,0,1,11,15,170,0
Wrestling,1912,Denmark,0,0,1,1,9,15,170,0
Wrestling,1912,Germany,0,1,0,1,14,15,170,0
Wrestling,1912,Greece,0,0,0,0,1,15,170,0
Wrestling,1912,Norway,0,0,0,0,9,15,170,0
Wrestling,1912,Italy,0,0,0,0,6,15,170,0
Wrestling,1912,Great Britain,0,0,0,0,12,15,170,0
Wrestling,1912,Bohemia,0,0,0,0,4,15,170,0
Wrestling,1912,Austria,0,0,0,0,8,15,170,0
Wrestling,1912,France,0,0,0,0,6,15,170,0
Wrestling,1912,Netherlands,0,0,0,0,3,15,170,0
Wrestling,1912,Belgium,0,0,0,0,1,15,170,0
Wrestling,1912,United States,0,0,0,0,2,15,170,0
Wrestling,1912,Hungary,0,0,1,1,10,15,170,0
Wrestling,1912,Portugal,0,0,0,0,2,15,170,0
Wrestling,1912,Iceland,0,0,0,0,1,15,170,0
Athletics,1896,Greece,1,3,5,9,30,36,106,0
Athletics,1896,United States,9,5,2,16,10,36,106,0
Athletics,1896,Hungary,0,1,2,3,3,36,106,0
Athletics,1896,France,0,1,1,2,5,36,106,0
Athletics,1896,Germany,0,1,0,1,5,36,106,0
Athletics,1896,Great Britain,0,1,1,2,5,36,106,0
Athletics,1896,Australia,2,0,0,2,1,36,106,0
Athletics,1896,Denmark,0,0,0,0,3,36,106,0
Athletics,1896,Sweden,0,0,0,0,1,36,106,0
Athletics,1900,Norway,0,0,1,1,2,69,234,0
Athletics,1900,Italy,0,0,0,0,2,69,234,0
Athletics,1900,Hungary,1,0,1,2,9,69,234,0
Athletics,1900,United States,16,13,10,39,41,69,234,0
Athletics,1900,Great Britain,3,3,2,8,10,69,234,0
Athletics,1900,Amateur Athletic Association,1,0,0,1,5,69,234,0
Athletics,1900,France,0,3,2,5,18,69,234,1
Athletics,1900,Sweden,0,0,1,1,8,69,234,0
Athletics,1900,Racing Club de France,0,1,0,1,5,69,234,0
Athletics,1900,Denmark,0,0,1,1,4,69,234,0
Athletics,1900,Germany,0,0,0,0,6,69,234,0
Athletics,1900,Canada,1,0,1,2,4,69,234,0
Athletics,1900,Bohemia,0,1,0,1,4,69,234,0
Athletics,1900,Brazil,0,0,0,0,1,69,234,0
Athletics,1900,Greece,0,0,0,0,2,69,234,0
Athletics,1900,India,0,2,0,2,1,69,234,0
Athletics,1900,Australia,0,0,3,3,1,69,234,0
Athletics,1900,Luxembourg,1,0,0,1,1,69,234,0
Athletics,1900,Austria,0,0,0,0,2,69,234,0
Athletics,1904,United States,21,21,21,63,86,72,201,1
Athletics,1904,Cuba,0,0,0,0,1,72,201,0
Athletics,1904,France,0,1,0,1,1,72,201,0
Athletics,1904,Chicago Athletic Association,0,1,0,1,5,72,201,0
Athletics,1904,Great Britain,1,1,0,2,3,72,201,0
Athletics,1904,Hungary,0,0,0,0,2,72,201,0
Athletics,1904,Canada,1,0,0,1,6,72,201,0
Athletics,1904,Greece,0,0,1,1,10,72,201,0
Athletics,1904,Newfoundland,0,0,0,0,1,72,201,0
Athletics,1904,Australia,0,0,0,0,1,72,201,0
