Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,Host
Wrestling,2024,Armenia,0,1,1,2,5,54,291," Paris, France"
Wrestling,2024,Colombia,0,0,1,1,4,54,291," Paris, France"
Wrestling,2024,Puerto Rico,0,0,1,1,4,54,291," Paris, France"
Wrestling,2024,Romania,0,0,0,0,5,54,291," Paris, France"
Wrestling,2024,Bahrain,1,0,0,1,1,54,291," Paris, France"
Wrestling,2024,IR Iran,2,4,2,8,12,54,291," Paris, France"
Wrestling,2024,Algeria,0,0,0,0,8,54,291," Paris, France"
Wrestling,2024,Sweden,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Albania,0,0,2,2,3,54,291," Paris, France"
Wrestling,2024,Ukraine,0,2,1,3,9,54,291," Paris, France"
Wrestling,2024,Mexico,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Georgia,1,1,0,2,7,54,291," Paris, France"
Wrestling,2024,Bulgaria,2,0,0,2,6,54,291," Paris, France"
Wrestling,2024,Germany,0,0,0,0,7,54,291," Paris, France"
Wrestling,2024,Uzbekistan,1,0,1,2,7,54,291," Paris, France"
Wrestling,2024,Egypt,0,0,0,0,11,54,291," Paris, France"
Wrestling,2024,Guinea,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Guam,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Kyrgyzstan,0,1,4,5,10,54,291," Paris, France"
Wrestling,2024,AIN,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Nigeria,0,0,0,0,6,54,291," Paris, France"
Wrestling,2024,Türkiye,0,0,2,2,11,54,291," Paris, France"
Wrestling,2024,Cuba,1,1,3,5,10,54,291," Paris, France"
Wrestling,2024,Republic of Moldova,0,1,0,1,7,54,291," Paris, France"
Wrestling,2024,Norway,0,0,1,1,1,54,291," Paris, France"
Wrestling,2024,Denmark,0,0,1,1,1,54,291," Paris, France"
Wrestling,2024,Lithuania,0,0,0,0,3,54,291," Paris, France"
Wrestling,2024,Korea,0,0,0,0,3,54,291," Paris, France"
Wrestling,2024,San Marino,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,New Zealand,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Poland,0,0,0,0,5,54,291," Paris, France"
Wrestling,2024,EOR,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Morocco,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,France,0,0,0,0,3,54,291," Paris, France"
Wrestling,2024,Finland,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,Slovakia,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Hungary,0,0,0,0,5,54,291," Paris, France"
Wrestling,2024,Tajikistan,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,China,0,1,4,5,12,54,291," Paris, France"
Wrestling,2024,Mongolia,0,0,0,0,9,54,291," Paris, France"
Wrestling,2024,Venezuela,0,0,0,0,4,54,291," Paris, France"
Wrestling,2024,Italy,0,0,0,0,3,54,291," Paris, France"
Wrestling,2024,Honduras,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,India,0,0,1,1,6,54,291," Paris, France"
Wrestling,2024,Estonia,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Chile,0,1,0,1,2,54,291," Paris, France"
Wrestling,2024,Kazakhstan,0,1,0,1,8,54,291," Paris, France"
Wrestling,2024,Japan,8,1,2,11,13,54,291," Paris, France"
Wrestling,2024,South Africa,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Dominican Republic,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Tunisia,0,0,0,0,3,54,291," Paris, France"
Wrestling,2024,Azerbaijan,0,0,3,3,12,54,291," Paris, France"
Wrestling,2024,Australia,0,0,0,0,2,54,291," Paris, France"
Wrestling,2024,United States,2,2,3,7,16,54,291," Paris, France"
Wrestling,2024,Serbia,0,0,0,0,5,54,291," Paris, France"
Wrestling,2024,Ecuador,0,1,0,1,4,54,291," Paris, France"
Wrestling,2024,Greece,0,0,1,1,3,54,291," Paris, France"
Wrestling,2024,Brazil,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Samoa,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,Canada,0,0,0,0,6,54,291," Paris, France"
Wrestling,2024,North Macedonia,0,0,0,0,1,54,291," Paris, France"
Wrestling,2024,DPR Korea,0,0,2,2,3,54,291," Paris, France"
Wrestling,2020,Azerbaijan,0,1,2,3,7,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Egypt,0,0,1,1,8,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Uzbekistan,0,0,1,1,8,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Tunisia,0,0,0,0,10,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Chile,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Turkey,0,0,3,3,9,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Nigeria,0,1,0,1,5,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Kazakhstan,0,0,1,1,11,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Morocco,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Kyrgyzstan,0,2,1,3,9,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Refugee Olympic Team,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Armenia,0,1,0,1,6,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
