Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,isHost
Diving,2024,Mexico,0,1,1,2,9,24,172,0
Diving,2024,Malaysia,0,0,0,0,2,24,172,0
Diving,2024,Ireland,0,0,0,0,2,24,172,0
Diving,2024,Cuba,0,0,0,0,2,24,172,0
Diving,2024,Puerto Rico,0,0,0,0,1,24,172,0
Diving,2024,Colombia,0,0,0,0,3,24,172,0
Diving,2024,Uzbekistan,0,0,0,0,1,24,172,0
Diving,2024,Jamaica,0,0,0,0,1,24,172,0
Diving,2024,Austria,0,0,0,0,1,24,172,0
Diving,2024,Sweden,0,0,0,0,1,24,172,0
Diving,2024,Norway,0,0,0,0,1,24,172,0
Diving,2024,Poland,0,0,0,0,1,24,172,0
Diving,2024,Egypt,0,0,0,0,4,24,172,0
Diving,2024,Japan,0,1,0,1,5,24,172,0
Diving,2024,Ukraine,0,0,0,0,8,24,172,0
Diving,2024,Great Britain,0,1,4,5,11,24,172,0
Diving,2024,China,8,2,1,11,10,24,172,0
Diving,2024,Korea,0,0,0,0,6,24,172,0
Diving,2024,France,0,0,0,0,9,24,172,1
Diving,2024,Germany,0,0,0,0,9,24,172,0
Diving,2024,New Zealand,0,0,0,0,1,24,172,0
Diving,2024,Italy,0,0,0,0,8,24,172,0
Diving,2024,Australia,0,1,0,1,9,24,172,0
Diving,2024,Dominican Republic,0,0,0,0,3,24,172,0
Diving,2024,Latvia,0,0,0,0,1,24,172,0
Diving,2024,United States,0,1,0,1,11,24,172,0
Diving,2024,Spain,0,0,0,0,4,24,172,0
Diving,2024,Brazil,0,0,0,0,1,24,172,0
Diving,2024,Canada,0,0,1,1,5,24,172,0
Diving,2024,South Africa,0,0,0,0,1,24,172,0
Diving,2024,Netherlands,0,0,0,0,1,24,172,0
Diving,2024,DPR Korea,0,1,1,2,3,24,172,0
Diving,2020,Canada,0,1,0,1,10,24,179,0
Diving,2020,Mexico,0,0,1,1,14,24,179,0
Diving,2020,Japan,0,0,0,0,11,24,179,1
Diving,2020,Spain,0,0,0,0,2,24,179,0
Diving,2020,Venezuela,0,0,0,0,1,24,179,0
Diving,2020,Germany,0,0,2,2,9,24,179,0
Diving,2020,Italy,0,0,0,0,6,24,179,0
Diving,2020,Russia,0,0,1,1,7,24,179,0
Diving,2020,South Africa,0,0,0,0,2,24,179,0
Diving,2020,China,7,5,0,12,10,24,179,0
Diving,2020,United States,0,2,1,3,11,24,179,0
Diving,2020,Singapore,0,0,0,0,2,24,179,0
Diving,2020,Great Britain,1,0,2,3,12,24,179,0
Diving,2020,Malaysia,0,0,0,0,5,24,179,0
Diving,2020,Ireland,0,0,0,0,2,24,179,0
Diving,2020,New Zealand,0,0,0,0,1,24,179,0
Diving,2020,Brazil,0,0,0,0,4,24,179,0
Diving,2020,Australia,0,0,1,1,7,24,179,0
Diving,2020,Egypt,0,0,0,0,2,24,179,0
Diving,2020,Sweden,0,0,0,0,1,24,179,0
Diving,2020,Switzerland,0,0,0,0,1,24,179,0
Diving,2020,France,0,0,0,0,3,24,179,0
Diving,2020,Netherlands,0,0,0,0,2,24,179,0
Diving,2020,Ukraine,0,0,0,0,6,24,179,0
Diving,2020,South Korea,0,0,0,0,5,24,179,0
Diving,2020,Jamaica,0,0,0,0,1,24,179,0
Diving,2020,Colombia,0,0,0,0,3,24,179,0
Diving,2020,Puerto Rico,0,0,0,0,1,24,179,0
Diving,2020,Dominican Republic,0,0,0,0,1,24,179,0
Diving,2020,Norway,0,0,0,0,1,24,179,0
Diving,2016,Egypt,0,0,0,0,4,24,178,0
Diving,2016,Canada,0,0,2,2,7,24,178,0
Diving,2016,France,0,0,0,0,3,24,178,0
Diving,2016,Malaysia,0,1,0,1,6,24,178,0
Diving,2016,Great Britain,1,1,1,3,11,24,178,0
Diving,2016,Italy,0,1,1,2,8,24,178,0
Diving,2016,Russia,0,0,0,0,8,24,178,0
Diving,2016,Australia,0,0,1,1,9,24,178,0
Diving,2016,Austria,0,0,0,0,1,24,178,0
Diving,2016,United States,0,2,1,3,10,24,178,0
Diving,2016,China,7,2,1,10,13,24,178,0
Diving,2016,New Zealand,0,0,0,0,1,24,178,0
Diving,2016,Brazil,0,0,0,0,9,24,178,1
Diving,2016,Mexico,0,1,0,1,9,24,178,0
Diving,2016,Ireland,0,0,0,0,1,24,178,0
Diving,2016,Ukraine,0,0,0,0,7,24,178,0
Diving,2016,Germany,0,0,1,1,8,24,178,0
Diving,2016,Netherlands,0,0,0,0,1,24,178,0
Diving,2016,Japan,0,0,0,0,3,24,178,0
Diving,2016,Belarus,0,0,0,0,2,24,178,0
Diving,2016,North Korea,0,0,0,0,3,24,178,0
Diving,2016,Jamaica,0,0,0,0,1,24,178,0
Diving,2016,Hungary,0,0,0,0,1,24,178,0
Diving,2016,Venezuela,0,0,0,0,2,24,178,0
Diving,2016,Croatia,0,0,0,0,1,24,178,0
Diving,2016,Colombia,0,0,0,0,4,24,178,0
Diving,2016,Puerto Rico,0,0,0,0,1,24,178,0
Diving,2016,South Africa,0,0,0,0,1,24,178,0
Diving,2016,South Korea,0,0,0,0,1,24,178,0
Diving,2012,Canada,0,0,2,2,9,24,181,0
Diving,2012,Cuba,0,0,0,0,3,24,181,0
Diving,2012,Great Britain,0,0,1,1,12,24,181,0
Diving,2012,Hungary,0,0,0,0,2,24,181,0
Diving,2012,Italy,0,0,0,0,8,24,181,0
Diving,2012,Russia,1,1,0,2,7,24,181,0
Diving,2012,United States,1,1,2,4,11,24,181,0
Diving,2012,Spain,0,0,0,0,2,24,181,0
Diving,2012,Ukraine,0,0,0,0,9,24,181,0
Diving,2012,France,0,0,0,0,5,24,181,0
Diving,2012,Australia,0,1,0,1,10,24,181,0
Diving,2012,China,6,3,1,10,12,24,181,0
Diving,2012,Venezuela,0,0,0,0,3,24,181,0
Diving,2012,Mexico,0,2,1,3,10,24,181,0
Diving,2012,Malaysia,0,0,1,1,8,24,181,0
Diving,2012,Brazil,0,0,0,0,3,24,181,0
Diving,2012,Germany,0,0,0,0,8,24,181,0
Diving,2012,Sweden,0,0,0,0,2,24,181,0
Diving,2012,Norway,0,0,0,0,1,24,181,0
Diving,2012,Belarus,0,0,0,0,2,24,181,0
Diving,2012,North Korea,0,0,0,0,3,24,181,0
Diving,2012,South Korea,0,0,0,0,2,24,181,0
Diving,2012,Japan,0,0,0,0,1,24,181,0
Diving,2012,Colombia,0,0,0,0,2,24,181,0
Diving,2012,Greece,0,0,0,0,1,24,181,0
Diving,2008,Canada,0,2,0,2,10,24,182,0
Diving,2008,Cuba,0,0,0,0,5,24,182,0
Diving,2008,Great Britain,0,0,0,0,10,24,182,0
Diving,2008,Hungary,0,0,0,0,2,24,182,0
Diving,2008,Italy,0,0,0,0,8,24,182,0
Diving,2008,Spain,0,0,0,0,2,24,182,0
Diving,2008,Austria,0,0,0,0,3,24,182,0
Diving,2008,United States,0,0,0,0,12,24,182,0
