Team,Year,Sport,gold_medals,silver_medals,bronze_medals
30. Februar,1952,Sailing,0,0,0
AIN,2024,Rowing,0,1,0
AIN,2024,Cycling,0,0,0
AIN,2024,Tennis,0,1,0
Acipactli,1964,Sailing,0,0,0
Acturus,1948,Sailing,0,0,0
Afghanistan,1936,Athletics,0,0,0
Afghanistan,1936,Hockey,0,0,0
Afghanistan,1948,Hockey,0,0,0
Afghanistan,1956,Hockey,0,0,0
Afghanistan,1960,Athletics,0,0,0
Afghanistan,1980,Boxing,0,0,0
Afghanistan,1996,Athletics,0,0,0
Afghanistan,2004,Athletics,0,0,0
Afghanistan,2004,Boxing,0,0,0
Afghanistan,2008,Athletics,0,0,0
Afghanistan,2012,Athletics,0,0,0
Afghanistan,2012,Boxing,0,0,0
Afghanistan,2016,Athletics,0,0,0
Afghanistan,2020,Athletics,0,0,0
Afghanistan,2024,Athletics,0,0,0
Afghanistan,2024,Cycling,0,0,0
Akatonbo,1964,Sailing,0,0,0
Alain IV,1964,Sailing,0,0,0
Albania,1992,Athletics,0,0,0
Albania,1996,Athletics,0,0,0
Albania,1996,Cycling,0,0,0
Albania,2000,Athletics,0,0,0
Albania,2004,Athletics,0,0,0
Albania,2008,Athletics,0,0,0
Albania,2012,Athletics,0,0,0
Albania,2016,Athletics,0,0,0
Albania,2020,Athletics,0,0,0
Albania,2024,Athletics,0,0,0
Alcaid,1952,Sailing,0,0,0
Alcyon,1900,Sailing,0,0,0
Aldebaran,1964,Sailing,0,0,0
Aldebaran II,1960,Sailing,0,0,0
Aletta,1960,Sailing,0,0,0
Algeria,1968,Boxing,0,0,0
Algeria,1972,Athletics,0,0,0
Algeria,1972,Boxing,0,0,0
Algeria,1980,Athletics,0,0,0
Algeria,1980,Boxing,0,0,0
Algeria,1980,Handball,0,0,0
Algeria,1984,Athletics,0,0,0
Algeria,1984,Boxing,0,0,2
Algeria,1984,Handball,0,0,0
Algeria,1988,Athletics,0,0,0
Algeria,1988,Boxing,0,0,0
Algeria,1988,Cycling,0,0,0
Algeria,1988,Handball,0,0,0
Algeria,1988,Tennis,0,0,0
Algeria,1992,Athletics,1,0,0
Algeria,1992,Boxing,0,0,1
