Team,Year,Sport,gold_medals,silver_medals,bronze_medals
AIN,2024,Wrestling,0,0,0
AIN,2024,Swimming,0,0,0
AIN,2024,Weightlifting,0,0,1
AIN,2024,Canoeing,0,0,0
AIN,2024,Gymnastics,1,1,0
AIN,2024,Taekwondo,0,0,0
AIN,2024,Shooting,0,0,0
Afghanistan,1948,Football,0,0,0
Afghanistan,1960,Wrestling,0,0,0
Afghanistan,1964,Wrestling,0,0,0
Afghanistan,1968,Wrestling,0,0,0
Afghanistan,1972,Wrestling,0,0,0
Afghanistan,1980,Wrestling,0,0,0
Afghanistan,1988,Wrestling,0,0,0
Afghanistan,2004,Wrestling,0,0,0
Afghanistan,2004,Judo,0,0,0
Afghanistan,2008,Taekwondo,0,0,1
Afghanistan,2012,Judo,0,0,0
Afghanistan,2012,Taekwondo,0,0,1
Afghanistan,2016,Judo,0,0,0
Afghanistan,2020,Swimming,0,0,0
Afghanistan,2020,Taekwondo,0,0,0
Afghanistan,2020,Shooting,0,0,0
Afghanistan,2024,Judo,0,0,0
Afghanistan,2024,Swimming,0,0,0
Albania,1972,Weightlifting,0,0,0
Albania,1972,Shooting,0,0,0
Albania,1992,Swimming,0,0,0
Albania,1992,Weightlifting,0,0,0
Albania,1992,Shooting,0,0,0
Albania,1996,Wrestling,0,0,0
Albania,1996,Weightlifting,0,0,0
Albania,1996,Shooting,0,0,0
Albania,2000,Weightlifting,0,0,0
Albania,2000,Shooting,0,0,0
Albania,2004,Wrestling,0,0,0
Albania,2004,Swimming,0,0,0
Albania,2004,Weightlifting,0,0,0
Albania,2008,Wrestling,0,0,0
Albania,2008,Judo,0,0,0
Albania,2008,Swimming,0,0,0
Albania,2008,Weightlifting,0,0,0
Albania,2008,Shooting,0,0,0
Albania,2012,Judo,0,0,0
Albania,2012,Swimming,0,0,0
Albania,2012,Weightlifting,0,0,0
Albania,2012,Shooting,0,0,0
Albania,2016,Swimming,0,0,0
Albania,2016,Weightlifting,0,0,0
Albania,2020,Judo,0,0,0
Albania,2020,Swimming,0,0,0
Albania,2020,Weightlifting,0,0,0
Albania,2020,Gymnastics,0,0,0
Albania,2020,Shooting,0,0,0
Albania,2024,Wrestling,0,0,2
Albania,2024,Swimming,0,0,0
Albania,2024,Shooting,0,0,0
Algeria,1964,Gymnastics,0,0,0
Algeria,1968,Gymnastics,0,0,0
Algeria,1980,Wrestling,0,0,0
Algeria,1980,Judo,0,0,0
Algeria,1980,Swimming,0,0,0
Algeria,1980,Weightlifting,0,0,0
Algeria,1980,Football,0,0,0
Algeria,1980,Fencing,0,0,0
Algeria,1984,Weightlifting,0,0,0
Algeria,1988,Judo,0,0,0
Algeria,1988,Weightlifting,0,0,0
Algeria,1992,Wrestling,0,0,0
Algeria,1992,Judo,0,0,0
Algeria,1992,Swimming,0,0,0
Algeria,1992,Weightlifting,0,0,0
Algeria,1996,Wrestling,0,0,0
Algeria,1996,Judo,0,0,0
Algeria,1996,Swimming,0,0,0
Algeria,1996,Weightlifting,0,0,0
Algeria,1996,Fencing,0,0,0
Algeria,2000,Table Tennis,0,0,0
Algeria,2000,Wrestling,0,0,0
Algeria,2000,Judo,0,0,0
Algeria,2000,Swimming,0,0,0
Algeria,2000,Weightlifting,0,0,0
Algeria,2000,Gymnastics,0,0,0
Algeria,2000,Fencing,0,0,0
Algeria,2004,Table Tennis,0,0,0
Algeria,2004,Wrestling,0,0,0
Algeria,2004,Judo,0,0,0
Algeria,2004,Swimming,0,0,0
Algeria,2004,Weightlifting,0,0,0
Algeria,2004,Fencing,0,0,0
Algeria,2008,Table Tennis,0,0,0
Algeria,2008,Wrestling,0,0,0
Algeria,2008,Judo,0,1,1
Algeria,2008,Swimming,0,0,0
Algeria,2008,Weightlifting,0,0,0
Algeria,2008,Badminton,0,0,0
Algeria,2008,Fencing,0,0,0
Algeria,2012,Wrestling,0,0,0
Algeria,2012,Judo,0,0,0
Algeria,2012,Swimming,0,0,0
Algeria,2012,Weightlifting,0,0,0
Algeria,2012,Taekwondo,0,0,0
Algeria,2012,Shooting,0,0,0
Algeria,2012,Fencing,0,0,0
Algeria,2016,Wrestling,0,0,0
Algeria,2016,Judo,0,0,0
Algeria,2016,Swimming,0,0,0
Algeria,2016,Weightlifting,0,0,0
Algeria,2016,Gymnastics,0,0,0
Algeria,2016,Shooting,0,0,0
Algeria,2016,Football,0,0,0
Algeria,2016,Fencing,0,0,0
Algeria,2020,Table Tennis,0,0,0
Algeria,2020,Wrestling,0,0,0
Algeria,2020,Judo,0,0,0
Algeria,2020,Swimming,0,0,0
Algeria,2020,Weightlifting,0,0,0
Algeria,2020,Canoeing,0,0,0
Algeria,2020,Shooting,0,0,0
Algeria,2020,Fencing,0,0,0
Algeria,2024,Table Tennis,0,0,0
Algeria,2024,Wrestling,0,0,0
Algeria,2024,Judo,0,0,0
Algeria,2024,Swimming,0,0,0
Algeria,2024,Weightlifting,0,0,0
Algeria,2024,Canoeing,0,0,0
Algeria,2024,Gymnastics,1,0,0
Algeria,2024,Shooting,0,0,0
Algeria,2024,Badminton,0,0,0
Algeria,2024,Fencing,0,0,0
American Samoa,1988,Wrestling,0,0,0
American Samoa,1988,Weightlifting,0,0,0
American Samoa,1992,Weightlifting,0,0,0
American Samoa,1996,Wrestling,0,0,0
American Samoa,1996,Weightlifting,0,0,0
American Samoa,2000,Archery,0,0,0
American Samoa,2000,Weightlifting,0,0,0
American Samoa,2004,Weightlifting,0,0,0
American Samoa,2008,Judo,0,0,0
American Samoa,2008,Swimming,0,0,0
American Samoa,2012,Judo,0,0,0
American Samoa,2012,Swimming,0,0,0
American Samoa,2016,Judo,0,0,0
American Samoa,2016,Weightlifting,0,0,0
American Samoa,2020,Swimming,0,0,0
American Samoa,2020,Weightlifting,0,0,0
American Samoa,2024,Swimming,0,0,0
Andorra,1976,Shooting,0,0,0
Andorra,1980,Shooting,0,0,0
Andorra,1984,Shooting,0,0,0
Andorra,1992,Judo,0,0,0
Andorra,1992,Shooting,0,0,0
Andorra,1996,Judo,0,0,0
Andorra,1996,Swimming,0,0,0
Andorra,1996,Shooting,0,0,0
Andorra,2000,Swimming,0,0,0
Andorra,2000,Shooting,0,0,0
Andorra,2004,Judo,0,0,0
Andorra,2004,Swimming,0,0,0
Andorra,2004,Shooting,0,0,0
Andorra,2008,Judo,0,0,0
Andorra,2008,Swimming,0,0,0
Andorra,2008,Canoeing,0,0,0
Andorra,2012,Judo,0,0,0
Andorra,2012,Swimming,0,0,0
Andorra,2012,Shooting,0,0,0
Andorra,2016,Judo,0,0,0
Andorra,2016,Swimming,0,0,0
Andorra,2016,Shooting,0,0,0
Andorra,2020,Canoeing,0,0,0
Andorra,2024,Canoeing,0,0,0
Angola,1980,Swimming,0,0,0
Angola,1988,Judo,0,0,0
Angola,1988,Swimming,0,0,0
Angola,1992,Basketball,0,0,0
Angola,1992,Judo,0,0,0
Angola,1992,Swimming,0,0,0
Angola,1996,Basketball,0,0,0
Angola,1996,Swimming,0,0,0
Angola,1996,Shooting,0,0,0
Angola,2000,Basketball,0,0,0
Angola,2000,Swimming,0,0,0
Angola,2000,Shooting,0,0,0
Angola,2004,Basketball,0,0,0
Angola,2004,Judo,0,0,0
Angola,2004,Swimming,0,0,0
Angola,2008,Basketball,0,0,0
Angola,2008,Swimming,0,0,0
Angola,2008,Canoeing,0,0,0
Angola,2012,Basketball,0,0,0
Angola,2012,Judo,0,0,0
Angola,2012,Swimming,0,0,0
Angola,2012,Canoeing,0,0,0
Angola,2016,Judo,0,0,0
Angola,2016,Swimming,0,0,0
Angola,2016,Shooting,0,0,0
Angola,2020,Judo,0,0,0
Angola,2020,Swimming,0,0,0
Angola,2024,Judo,0,0,0
Angola,2024,Swimming,0,0,0
Angola,2024,Canoeing,0,0,0
Antigua and Barbuda,1996,Canoeing,0,0,0
Antigua and Barbuda,2004,Swimming,0,0,0
Antigua and Barbuda,2008,Swimming,0,0,0
Antigua and Barbuda,2012,Swimming,0,0,0
Antigua and Barbuda,2016,Swimming,0,0,0
Antigua and Barbuda,2020,Swimming,0,0,0
Antigua and Barbuda,2024,Swimming,0,0,0
Argentina,1900,Fencing,0,0,0
Argentina,1924,Swimming,0,0,0
Argentina,1924,Weightlifting,0,0,0
Argentina,1924,Shooting,0,0,0
Argentina,1924,Fencing,0,0,0
Argentina,1928,Wrestling,0,0,0
Argentina,1928,Swimming,1,0,0
Argentina,1928,Weightlifting,0,0,0
Argentina,1928,Equestrianism,0,0,0
Argentina,1928,Football,0,1,0
Argentina,1928,Fencing,0,0,1
Argentina,1928,Water Polo,0,0,0
Argentina,1932,Swimming,0,0,0
Argentina,1932,Weightlifting,0,0,0
Argentina,1932,Shooting,0,0,0
Argentina,1932,Fencing,0,0,0
Argentina,1936,Swimming,0,1,0
Argentina,1936,Shooting,0,0,0
Argentina,1936,Fencing,0,0,0
Argentina,1948,Basketball,0,0,0
Argentina,1948,Wrestling,0,0,0
Argentina,1948,Swimming,0,0,0
Argentina,1948,Weightlifting,0,0,0
Argentina,1948,Gymnastics,0,0,0
Argentina,1948,Equestrianism,0,0,0
Argentina,1948,Shooting,0,1,0
Argentina,1948,Fencing,0,0,0
Argentina,1948,Water Polo,0,0,0
Argentina,1952,Basketball,0,0,0
Argentina,1952,Wrestling,0,0,0
Argentina,1952,Swimming,0,0,0
Argentina,1952,Weightlifting,0,0,1
Argentina,1952,Gymnastics,0,0,0
Argentina,1952,Equestrianism,0,0,0
Argentina,1952,Shooting,0,0,0
Argentina,1952,Fencing,0,0,0
Argentina,1952,Water Polo,0,0,0
Argentina,1956,Wrestling,0,0,0
Argentina,1956,Weightlifting,0,1,0
Argentina,1956,Equestrianism,0,0,0
Argentina,1956,Shooting,0,0,0
Argentina,1956,Fencing,0,0,0
Argentina,1960,Diving,0,0,0
Argentina,1960,Wrestling,0,0,0
Argentina,1960,Swimming,0,0,0
Argentina,1960,Gymnastics,0,0,0
Argentina,1960,Equestrianism,0,0,0
Argentina,1960,Shooting,0,0,0
Argentina,1960,Football,0,0,0
Argentina,1960,Fencing,0,0,0
Argentina,1960,Water Polo,0,0,0
Argentina,1964,Wrestling,0,0,0
Argentina,1964,Judo,0,0,0
Argentina,1964,Swimming,0,0,0
Argentina,1964,Weightlifting,0,0,0
Argentina,1964,Gymnastics,0,0,0
Argentina,1964,Equestrianism,0,1,0
